image,mean_gap,var_gap,group
9084.pgm,2.101000,3.072549,A
5258.pgm,2.547750,92.679470,B
1548.pgm,2.742250,287.941315,B
1713.pgm,1.938750,3.135498,A
1233.pgm,1.966750,1.719894,A
1708.pgm,2.005500,1.860970,A
6726.pgm,1.916000,1.636194,A
31.pgm,1.890500,1.433510,A
4305.pgm,1.889625,1.492442,A
4576.pgm,1.912250,1.416050,A
7066.pgm,1.891500,1.450728,A
6285.pgm,1.923250,1.501859,A
2409.pgm,1.890125,1.380052,A
9363.pgm,1.907125,1.541499,A
6706.pgm,2.166250,4.198111,A
8381.pgm,2.106375,5.955059,A
4048.pgm,1.947750,1.625770,A
6250.pgm,1.937500,5.028594,A
9222.pgm,2.041625,4.144142,A
2779.pgm,3.106375,410.984559,B
7408.pgm,1.963625,1.724052,A
902.pgm,4.648375,1043.290735,B
5204.pgm,1.957500,1.592694,A
4954.pgm,1.942250,1.600415,A
1913.pgm,3.022375,380.244374,B
4323.pgm,1.885750,1.449197,A
4445.pgm,1.988000,4.444856,A
1638.pgm,2.187750,2.827000,A
8677.pgm,2.003125,1.881115,A
2652.pgm,1.951125,3.577736,A
6905.pgm,1.961625,1.748652,A
3040.pgm,1.928500,1.983888,A
8364.pgm,2.047750,2.380470,A
5407.pgm,2.061500,2.228218,A
1594.pgm,2.007625,2.410067,A
9559.pgm,2.141500,14.375228,A
4534.pgm,1.944250,1.646892,A
9722.pgm,2.049875,2.336387,A
6852.pgm,1.954125,1.719520,A
7025.pgm,2.024500,2.025900,A
7335.pgm,1.867000,1.309061,A
3520.pgm,1.934875,2.106884,A
7068.pgm,1.924625,1.602694,A
4407.pgm,1.858875,1.302959,A
4364.pgm,2.977750,193.469255,B
9950.pgm,2.070750,12.188494,A
6027.pgm,2.100625,7.953000,A
1221.pgm,1.974750,11.860362,A
9981.pgm,2.365625,46.137193,A
3492.pgm,1.930375,2.164027,A
3286.pgm,1.989375,1.823262,A
836.pgm,1.912625,1.502991,A
9413.pgm,1.983750,3.111486,A
6997.pgm,1.894625,1.468021,A
9282.pgm,1.982875,3.937082,A
1789.pgm,2.072625,4.819601,A
1886.pgm,2.180750,5.119829,A
3527.pgm,1.987000,1.846331,A
4787.pgm,1.868750,1.362273,A
5360.pgm,1.940500,1.624710,A
3325.pgm,1.943250,1.803529,A
7349.pgm,1.961125,1.695114,A
4031.pgm,11.935250,8564.723557,C
8113.pgm,1.966875,1.601778,A
7386.pgm,1.889000,1.462679,A
2281.pgm,2607.827250,187012498.410157,C
8080.pgm,2.020375,1.952710,A
3949.pgm,2.101875,23.934246,A
506.pgm,1.977125,4.981352,A
7848.pgm,2.185750,3.074497,A
6635.pgm,33.659125,25016.459429,C
9067.pgm,2.081500,3.208108,A
6063.pgm,2.167250,19.981527,A
2520.pgm,2.727000,159.974471,B
3374.pgm,1.916750,1.458069,A
2606.pgm,1.952375,1.744107,A
2899.pgm,1.932375,1.627802,A
197.pgm,1.977625,1.930624,A
640.pgm,1.914750,1.461232,A
3749.pgm,1.924500,1.479800,A
5992.pgm,1.951250,1.698123,A
4466.pgm,1.882625,1.287598,A
9507.pgm,1.931750,1.575592,A
8715.pgm,1.949375,2.062812,A
8825.pgm,1.933375,1.708936,A
3706.pgm,73.156875,148848.247515,C
6423.pgm,2.148750,28.610123,A
6877.pgm,2.017625,1.995814,A
8742.pgm,2.147875,2.737008,A
3742.pgm,1.911250,1.491373,A
5427.pgm,1.952000,1.701446,A
7294.pgm,1.924750,1.550587,A
5937.pgm,1.857875,1.293925,A
2227.pgm,1.940000,1.623900,A
865.pgm,1.990875,1.804042,A
6384.pgm,1.910000,1.569400,A
4754.pgm,1.962125,2.686440,A
5056.pgm,1.932750,1.598727,A
7960.pgm,2.158375,4.422542,A
5351.pgm,2.057375,2.235583,A
1943.pgm,1.888125,1.426859,A
9183.pgm,1.921375,1.820193,A
650.pgm,1.987625,2.119472,A
8917.pgm,2.015000,1.953275,A
9768.pgm,2.028750,2.542923,A
7449.pgm,2.043625,2.907472,A
7316.pgm,1.967875,1.748843,A
8140.pgm,2.058625,2.158188,A
7700.pgm,1.934875,1.663884,A
6477.pgm,10.941125,4525.015909,C
3362.pgm,1.882500,1.461444,A
2679.pgm,1.914375,1.549043,A
8427.pgm,2.157125,2.921937,A
4694.pgm,1.929125,1.538602,A
3396.pgm,1.941750,1.603857,A
245.pgm,13.603750,8296.409486,C
9806.pgm,2.029625,2.061497,A
3145.pgm,1.944750,1.545697,A
6977.pgm,1.949500,1.712700,A
3816.pgm,2.363750,47.662436,A
524.pgm,1.899500,3.038650,A
3342.pgm,220.799125,534510.143274,C
3930.pgm,2.053250,10.252664,A
3819.pgm,2.710750,146.632584,B
497.pgm,1.902875,1.555942,A
2193.pgm,2.513250,135.501074,B
8744.pgm,2.068875,2.572881,A
7539.pgm,2.205375,4.341946,A
2937.pgm,1.915625,3.734506,A
1059.pgm,1.982000,1.807926,A
5215.pgm,109408.727500,50987781449.687241,C
443.pgm,1.962375,1.897709,A
2088.pgm,5.425375,2702.859181,C
113.pgm,1.916000,1.487694,A
6046.pgm,2.469125,95.283547,A
